,Name,Artist,Duration(s),Popularity,Danceability,Energy,Loudness,Speechiness,Tempo,Valence
65,Çok Yorgunum,Cem Karaca,224,54,0.28,0.295,-10.871,0.0303,97.299,0.0683
66,İçimde Ölen Biri,Can Gox,242,44,0.554,0.616,-8.166,0.0345,106.008,0.39
67,Derdim Olsun,Reynmen,195,53,0.629,0.581,-7.541,0.0577,123.982,0.388
68,Ignite,K-391,210,74,0.681,0.864,-4.3,0.116,90.008,0.479
69,Sorma,Can Gox,235,38,0.58,0.816,-5.825,0.0404,100.062,0.593
70,Drama Köprüsü,Can Gox,267,43,0.61,0.428,-9.252,0.0267,101.911,0.364
71,Yalnızım Ben,Can Gox,221,53,0.578,0.659,-6.414,0.0544,145.093,0.406
72,Gölge,Can Gox,225,30,0.621,0.676,-10.324,0.0306,99.989,0.497
73,Unutama Beni,Can Gox,242,47,0.594,0.592,-8.352,0.0348,101.979,0.395
74,Kabul Olur,Hayko Cepkin,250,38,0.217,0.659,-7.154,0.0387,84.268,0.0601
75,Ceviz Ağacı,Cem Karaca,349,53,0.555,0.896,-8.561,0.135,135.566,0.923
76,Bardak Taşıyor,Can Bonomo,176,26,0.72,0.8,-7.299,0.137,104.011,0.879
77,Kıskanç,Kubilay Karça,203,49,0.828,0.855,-5.314,0.135,128.056,0.261
78,Daha Yeni Başladı,Berk Coşkun,165,43,0.706,0.822,-8.139,0.0567,95.018,0.679
79,Wow. - Remix,Post Malone,170,66,0.797,0.64,-6.272,0.194,100.002,0.486
80,Vursalar Ölemem,Melek Mosso,223,59,0.682,0.298,-7.643,0.0363,120.211,0.365
81,All Day and All of the Night,Barış Manço,130,27,0.696,0.688,-9.295,0.158,146.565,0.962
82,Get Dat,Rayelle,146,48,0.906,0.888,-8.48,0.0431,119.941,0.888
83,Koca Yaşlı Şişko Dünya,Adamlar,234,59,0.552,0.799,-5.456,0.0599,165.917,0.613
84,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,157,13,0.878,0.619,-5.56,0.102,136.041,0.639
85,Yok Yok,Feride Hilal Akın,185,50,0.698,0.422,-7.899,0.0598,75.803,0.142
86,Giderdi Hoşuma,Yaşlı Amca,221,0,0.682,0.693,-4.657,0.0282,125.008,0.791
87,Yeniden,BEGE,160,63,0.659,0.54,-4.362,0.039,130.048,0.346
88,Monster,Meg Myers,228,42,0.652,0.377,-7.021,0.0236,103.004,0.168
89,Benjamins 2,Rozz Kalliope,183,0,0.743,0.802,-3.596,0.0688,141.008,0.547
90,Yaban Hayat,Orkundk,215,25,0.519,0.903,-6.278,0.233,89.941,0.585
91,Back Up,The Seige,233,53,0.808,0.744,-7.074,0.22,139.938,0.308
92,Sniper,Hidra,230,45,0.831,0.674,-9.952,0.16,101.002,0.562
93,Roses,SAINt JHN,174,0,0.782,0.5,-6.473,0.0611,102.001,0.281
94,Yarim,Hasibe,172,1,0.772,0.903,-5.022,0.137,111.988,0.552
95,Hallowed Be Thy Name - 2015 Remaster,Iron Maiden,431,65,0.313,0.882,-6.215,0.0355,103.981,0.3
