Average for 2018,Average for 2019,Average for 2020,Min-Max Values
Avg Popularity,32.24,36.03125,54.13,(0-100.0)
Avg Danceability,0.7286700000000002,0.7173958333333333,0.6846099999999998,(0-1.0)
Avg Energy,0.6745700000000002,0.6342291666666665,0.6524,(0-1.0)
Avg Loudness,-6.666450000000001,-7.027427083333333,-6.9835199999999995,in dB (-60.0-0)
Avg Speechiness,0.16853499999999996,0.1651802083333334,0.15537900000000002,(0-1.0)
Avg Tempo,122.27296000000007,119.08189583333335,127.03155000000004,in RPM (0-250?)
Avg Valence,0.41215599999999986,0.45865729166666663,0.42193900000000006,Higher -> positive (0-1.0)
